nodeId,networkId,tokenName,tokenSymbol,nodeGroup,date,nodeStake,pubsCommited,pubsCommited1stEpochOnly,estimatedEarnings,cumulativeEstimatedEarnings,payouts,cumulativePayouts,ask
23,QmZ7xMtgJ1vBey5ifvD6yFsxH4VmSQVwtKrX8zNuZ2uiKb,Trace Labs Node 30,TLNODE_30,Trace Labs,2023-07-10T00:00:00.000Z,53360.496499241,18,8,3.79828125,4294.455523631684,1.945346482,3360.269467719,0.1
120,QmZYtjVipLma2AhHbjPRia9PJDe9vX7ezgTxNSFrSkWTKb,BioOne,TRAC,Solo,2023-07-10T00:00:00.000Z,60000.0,2,2,0.48,148.77796875,0.0,0.0,0.24
67,QmUNARF8G5xeRC3VkVAANpQWeVgPuMCQUuNcMKzZxare2B,CoachPA Node 2,COACH2,Solo,2023-07-10T00:00:00.000Z,53043.515316115,7,3,1.462734375,3858.4565820108332,1.537917013,2043.515315732,0.24
79,QmNqdyK4dAZg97Dy8XRZ8VAUppLJeBJdpdkUq1u8iowuUS,Amado2,Amado2,Alliance,2023-07-10T00:00:00.000Z,52694.131474626,10,3,2.023359375,543.4441503905,0.0,194.131474572,0.24
80,QmPx8gKqABFQuzYTHD7Ka9uvbFvmg7hfezU8BYcUahvVUC,Amado4,Amado4,Alliance,2023-07-10T00:00:00.000Z,52841.657389262,9,3,1.8365625,820.8170214784167,0.2,341.657389113,0.24
3,QmQHeX9fHNjdBZxHVtuUQDdQDQ2XnvxaxdG7Y5fgiBimLQ,Trace Labs Node 3,TLNODE_3,Trace Labs,2023-07-10T00:00:00.000Z,51891.011682849,14,9,3.09,3100.8362937165334,1.625679592,1891.011680029,0.128
46,QmbQeQsPytKnBVbRJsLosGZGPXcUaBMbgfeB6rKbiBDxGc,Hotnode5,Hotnode5,Alliance,2023-07-10T00:00:00.000Z,58946.389454784,9,4,1.8871875,2327.7725316326,0.715527551,1346.389453452,0.24
62,QmTge66HJdzqgML2kWALnHuMCsXCyfRbzr51ite9GFFhvb,TRA©VERSE,KNOW,Alliance,2023-07-10T00:00:00.000Z,51119.368346223,4,0,0.746484375,2106.6651464769166,0.510004588,1119.368345995,0.24
122,Qmb545S4B8aBzkjsUCAxjKiZpuBdgs9PgJUUD6cD4qg3A3,BioTwo,DNA,Alliance,2023-07-10T00:00:00.000Z,60000.0,5,5,1.284375,50.482265625,0.0,0.0,0.24
110,QmbBn8L27ewqEA3V2mYqUqTwWq1Zk9jKXJst9meALVNXki,SPARK6,PWD6,Solo,2023-07-10T00:00:00.000Z,50028.350678168,3,3,0.72,369.754921875,0.2,28.35067815,0.24
31,QmbaHGQByXY8TvBwx1R2eQLt6XXpKeRAg4kEbR1yDjmVuM,Trace Labs Node 16,TLNODE_16,Trace Labs,2023-07-10T00:00:00.000Z,54091.754457196,38,13,7.845,5221.239909034067,3.056055482,4091.560033017,0.12
56,QmZFfAiUKFSUUg5eYR1qzXia67LYjm64pdbR9buRTdyd8N,Hotnode2,Hotnode2,Alliance,2023-07-10T00:00:00.000Z,51692.358605223,16,8,3.414140625,3043.87118160425,1.783360497,1649.358604445,0.24
43,QmdddUvKwcoq7FTmjoWqZxKiBE4izexcJ9jwzTHrNFUpVz,Branimir Rakic X89,BRX89,Alliance,2023-07-10T00:00:00.000Z,76917.627266754,17,4,3.37921875,3418.1101005271,3.936192499,1917.627265568,0.24
28,QmPMNPPsr4iyoTEPwKiWUfwHQEDSDL4Fbf457k8deg1zxr,Trace Labs Node 2,TLNODE_2,Trace Labs,2023-07-10T00:00:00.000Z,50489.497917095,3,1,0.614296875,960.4820218606667,0.458557942,489.497915871,0.176
92,QmUB5Pb2UUyeH9AYhJpyxpGF7yNzW98ujJsVkoSgAy3ScG,PEMA01,PEMA01,Alliance,2023-07-10T00:00:00.000Z,50158.901126662,3,3,0.72,322.23375,0.283333333,158.90112657,0.24
109,QmdGgJWhw46SDPuGh8DQKoDYRGqC5QPWVGuatn1ggqrCar,SPARK5,PWD5,Solo,2023-07-10T00:00:00.000Z,50042.450868055,8,8,1.92,645.51890625,0.533691406,42.45086802,0.24
69,Qmb3yiWrE9J7twAMZkEFvgNoJwEykuvfC2uBjTNPcmCHfc,DKG Warrior 1,DKGWAR1,Alliance,2023-07-10T00:00:00.000Z,54127.900213909,9,3,1.84078125,896.46313084675,0.0,527.90021382,0.24
107,QmYUipWZSu6XAGbAw6az5Jg3fL9kRJiSLqsHPVFMagnJbU,SPARK3,PWD3,Solo,2023-07-10T00:00:00.000Z,50038.653990342,7,7,1.68,654.635625,1.038324652,38.653990314,0.24
55,QmS7qKhwkGUPj4HtETibDmSSgu5FsNbKxtWYrnLGEghqK5,Hotnode1,Hotnode1,Alliance,2023-07-10T00:00:00.000Z,52785.48676259,29,14,6.556171875,4758.372441194583,2.456463776,2745.286369599,0.24
89,QmRHFJSMg6soz7PKegG4WW9mZxBns8FXNqEGkHE9UanPfm,SHIFT05,ST05,Alliance,2023-07-10T00:00:00.000Z,53500.016005112,3,3,0.803671875,519.785328125,0.2,215.016005002,0.24
16,QmdS3NwRXqmHpy6yzZ9k49Sau8Eb67zah1CKZ7nNpLMHoD,Trace Labs Node 8,TLNODE_8,Trace Labs,2023-07-10T00:00:00.000Z,50775.578605212,4,0,0.746484375,1381.8400109148333,0.0,775.578604365,0.11
6,Qmeay8Jy7nMfi7i4ykeEg7qRS5Ba4NpwSH2aQTxXmjCrbL,Trace Labs Node 19,TLNODE_19,Trace Labs,2023-07-10T00:00:00.000Z,51156.563187808,7,2,1.4090625,2011.6313582433834,0.283333333,1156.56318347,0.12
7,QmaSu1NT7R5XYSqvYHwxPmaPBYzKMyBfEViXtBsJg9YWae,Trace Labs Node 7,TLNODE_7,Trace Labs,2023-07-10T00:00:00.000Z,51253.564375429,9,1,1.7334375,1685.4301293403666,0.310097812,1253.564374648,0.115
21,QmPptt8g1bdJbPic8bZPUY3TqGdDPuJC8jtY5pjR3Gkqan,Trace Labs Node 31,TLNODE_31,Trace Labs,2023-07-10T00:00:00.000Z,52704.361904686,3,1,0.61125,2720.3856983523,0.519937255,2704.361899444,0.1
42,QmX4HRTqVpPVui5sLHVaxBdu4TXq92xc9jiJftmSd9FcjC,Branimir Rakic X,BRX,Alliance,2023-07-10T00:00:00.000Z,74394.703133916,8,2,1.5928125,3493.9150625389834,0.0,1894.606944734,0.24
103,QmYUQxkU1ZLXi95EPTUMWwVdkuFcpLSdeM1R4aD6C6MXDH,LIT,LIT,Solo,2023-07-10T00:00:00.000Z,50038.957855902,8,8,1.941796875,497.039296875,0.4,38.957855871,0.22
93,QmcSxJE8nZmRZufLoJF78jcUTsa1pe54U2XXRHamGBxT4N,PEMA02,PEMA02,Solo,2023-07-10T00:00:00.000Z,50209.957751564,4,4,0.96,548.5650683592,0.0,209.95775146,0.17
14,QmZceSUg7vVEXqcHnQbKMihZ4Kn5etLXbHb5wSzT8R4J1K,Trace Labs Node 29,TLNODE_29,Trace Labs,2023-07-10T00:00:00.000Z,50738.830070965,5,1,0.982265625,1151.6820573417167,1.03325429,738.83006759,0.11
51,QmcmsZ76Yrm3sf6jZx7SX83W3CnWwadfYQ6YerefWAZuuH,drMurlly-DKGv6-1,DKGv6-1,Alliance,2023-07-10T00:00:00.000Z,50043.577803023,9,3,1.84078125,1382.4453507616167,0.29961875,793.577802242,0.24
17,QmbUXe8cNfvtUumZr1CZEibGmYHu5kBjhu5Xwm3PeGsjXY,Trace Labs Node 9,TLNODE_9,Trace Labs,2023-07-10T00:00:00.000Z,50597.798874379,7,4,1.5215625,901.9587467578167,0.57875385,597.798873442,0.12
44,QmSjLxW54uyPTKtJ3LZcNCmjZReKA2PyieHuuGKkkhA5vT,kCosmi,kCC,Alliance,2023-07-10T00:00:00.000Z,102605.950173719,16,4,3.17953125,3968.0075165292665,1.733969171,2634.950170087,0.24
66,QmcgCVvM6R7YBU78S5B7DjRhwBsMeV4TAdDyRhDT3Sdr9S,(NLD)OT Node,DANS,Solo,2023-07-10T00:00:00.000Z,0.0,0,0,0.0,0.0,0.0,0.0,0.24
59,QmfMb7nuzR12xaVTayNSLJax9LeQEncctZupnKDasKhdEx,Blockchain22Networks,B22N,Solo,2023-07-10T00:00:00.000Z,56914.323473144,2,2,0.48,2743.1969804564833,1.620639178,2238.186767432,0.241
97,QmV7yVitPPfGm6AqkiLWQLHpv47KuBmtnswRGW4yunAHZB,PEMA03,PEMA03,Solo,2023-07-10T00:00:00.000Z,50275.864225659,4,4,0.96,433.21734375,0.0,275.864225485,0.17
117,QmdSpXBSLic3C4oJK6HpJ6qzEY4Ni1mH8MVDdzUVeT3Kxv,dkg_node_3_token,dkg_node_3,Solo,2023-07-10T00:00:00.000Z,400000.0,7,7,1.79765625,363.42046875,0.0,0.0,0.001
77,QmQSmxjJL38oT6D8UHoyJzg9zhFmUtteH1uepFUZVUPKgD,Amado1,Amado1,Alliance,2023-07-10T00:00:00.000Z,52869.853155108,8,3,1.724296875,1057.8678828043332,0.4,369.853154904,0.24
38,QmV9WL9J8FEUEZznaCTK1mZuKkjP3CkRt3979fVZHbXVvm,Branimir Rakic X86,BRX86,Alliance,2023-07-10T00:00:00.000Z,75691.709079872,1,1,0.24,1266.8360820759833,0.0,691.624188131,0.24
15,QmNkmydWxHqj9voSjWkcVewefrDxEuwfyBkbGkwh4oZuWY,Trace Labs Node 11,TLNODE_11,Trace Labs,2023-07-10T00:00:00.000Z,50647.202713092,0,0,0.0,901.4654518507666,0.264762695,647.202712345,0.114
83,QmNRfsnE4Ea9rGkYkgnprre2Us4Dz4G85QKUi3V5iRBPsY,2961b8f91e1726913d12a4d8a093bec7da649632132d1bf71eabad0ad22d8c86,GLD,Solo,2023-07-10T00:00:00.000Z,55341.814372634,3,0,0.556875,709.61415625,1.038888888,341.814372446,0.2
60,QmNd7jyRjY8QXmPFE3M9q37vp93iAT35wbQVewytrNVJa2,Blockchain22Networks-1,B22N-1,Solo,2023-07-10T00:00:00.000Z,52418.086891674,7,7,1.68,1853.2145126891332,1.199551989,873.086891409,0.241
85,QmVR9JM6mzJwwEQ9YkfJg3ZrrQK13jDARRuoykyhyh9Nbc,SHIFT02,ST02,Alliance,2023-07-10T00:00:00.000Z,53632.633753741,9,1,1.714921875,787.30259375,0.2,347.633753583,0.24
118,QmPtxryUf9L9xLkTkSMZaTdUjCjX2XAUgzGkZtYpnsVfgN,dkg_node_4_token,dkg_node_4,Solo,2023-07-10T00:00:00.000Z,400000.0,0,0,0.0,18.153046875,0.0,0.0,0.005
64,QmZinr9WnYbygsJvWP4tWznMEWhUzoqoiDaHKYMzP1oqma,Trini Zone,Trini,Alliance,2023-07-10T00:00:00.000Z,51326.698834409,8,4,1.71234375,1945.628837886,0.769632363,1326.698834192,0.24
2,QmZFcns6eGUosD96beHyevKu1jGJ1bA56Reg2f1J4q59Jt,Trace Labs Node 0,TLNODE_0,Trace Labs,2023-07-10T00:00:00.000Z,0.0,0,0,0.0,0.01710205066666667,0.0,0.017056506,0.00375
4,Qmbt6JkNzKhtxJz4CyBCisjbrz39qb1ziWX9kzez6dFkG9,Trace Labs Node 4,TLNODE_4,Trace Labs,2023-07-10T00:00:00.000Z,50254.907780827,1,1,0.24,427.19969210106666,0.2,254.907777022,0.135
119,QmQEU9yMiERqaQEXuWohadDeGwkBF1hsVE7AWqCzCJQyHv,dkg_node_5_token,dkg_node_5,Solo,2023-07-10T00:00:00.000Z,300000.0,9,9,2.16,413.4065625,0.0,0.0,0.01
22,QmSHNjGfzapQL6sNrZTSCL6NCDsjH8i65BGqSjmJ4ZDu9T,Trace Labs Node 24,TLNODE_24,Trace Labs,2023-07-10T00:00:00.000Z,51674.747131828,10,6,2.183671875,2277.6561837818335,1.621456612,1674.747128235,0.11
49,QmWPGrwxjcFP8MAuS8PGPxWabtQR9kcXnyDpXrUULpnucd,Hotnode7,Hotnode7,Alliance,2023-07-10T00:00:00.000Z,59348.000558537,6,3,1.370390625,2501.2003023420666,2.027007943,1747.756431566,0.24
87,QmSmkRKYw171oGV4iPJxd6MDSrnLu7AiKjsawz5hVDpZxt,SHIFT03,ST03,Alliance,2023-07-10T00:00:00.000Z,53659.346833155,1,1,0.24,628.649765625,0.0,374.346832978,0.24
29,QmTEisCvd7eYiANqVGvHd6RGpQ3ru1pd77Qxnn97PZP3i5,Trace Labs Node 28,TLNODE_28,Trace Labs,2023-07-10T00:00:00.000Z,51593.446621078,12,7,2.604140625,2083.7854059115334,1.280455311,1593.215204285,0.12
20,Qmb7eiBwhE6JqEWFXSJ7qxJdHZGEfBcfmSZUr8uAEbvcFg,Trace Labs Node 14,TLNODE_14,Trace Labs,2023-07-10T00:00:00.000Z,53420.309024485,13,2,2.52609375,4111.703383952567,1.051212807,3420.16874381,0.118
74,QmdiEMaxS1w2UT29Gh5XmVB43yLTXGij6w4J4nDCicZhVA,Node Jesus 1,NJ1,Solo,2023-07-10T00:00:00.000Z,50547.551096545,1,1,0.323671875,1076.0487285111667,0.0,547.551096417,0.24
65,QmP19HNvJJi5VuvkP5tpgHLmFvSrpHat5NVZxq7TEbafEH,CoachPA Node 1,COACH,Solo,2023-07-10T00:00:00.000Z,52091.700957404,13,7,2.791171875,1918.1934062453333,0.697572708,1091.700957296,0.24
45,QmPVxRU4EyJ2R4FqtCTXKbkVZVQNdSBwmvN2b767zHme3b,Hotnode4,Hotnode4,Alliance,2023-07-10T00:00:00.000Z,60746.05241969,12,4,2.471015625,4254.659682348483,2.019256281,3145.795494592,0.24
78,QmUSHCxxisiGipuMNqigcU64YgwiTjU9nTnvZkPPtWGeBy,Amado3,Amado3,Alliance,2023-07-10T00:00:00.000Z,52908.241742762,2,0,0.375703125,910.5165097559334,0.0,408.241742578,0.24
54,QmfGTWRn5pJ3mHZ1iZnviLJe3TFHJMQ5bFZAUr1mnD2Rf5,Weave,WEAV,Solo,2023-07-10T00:00:00.000Z,51393.887217635,8,3,1.77,2323.0245429064835,1.534756638,1393.791591648,0.24
112,QmQosDTb7acNGdCA87H7AaioHoUwXzyhTJ7syqhCdEzagM,Pull,PUL,Solo,2023-07-10T00:00:00.000Z,50518.386282009,0,0,0.0,374.083828125,0.0,18.386281997,0.22
27,QmQwA2Hz8zNchVjGX4TWvqySCP5cbkLLVjUSvRsCHhQ4SB,Trace Labs Node 10,TLNODE_10,Trace Labs,2023-07-10T00:00:00.000Z,52537.243285902,9,3,1.831171875,3113.0119634229,1.05766408,2537.143087528,0.11
88,QmT1sYXxgfnuN43Uu9DFkanJSUCB6WkWS3H4eUb4bRGNAK,SHIFT04,ST04,Alliance,2023-07-10T00:00:00.000Z,53463.08992842,3,3,0.72,459.927421875,0.2,178.089928333,0.24
